ID,Icon,Name,Url,UrlType,_,_Score
4551,/i/020000/020601.png,Potion,/Item/4551,Item,item,0
4552,/i/020000/020602.png,Hi-Potion,/Item/4552,Item,item,0
4553,/i/020000/020603.png,Mega-Potion,/Item/4553,Item,item,0
4554,/i/020000/020603.png,X-Potion,/Item/4554,Item,item,0
4555,/i/020000/020621.png,Ether,/Item/4555,Item,item,0
4556,/i/020000/020622.png,Hi-Ether,/Item/4556,Item,item,0
4557,/i/020000/020623.png,Mega-Ether,/Item/4557,Item,item,0
4558,/i/020000/020623.png,X-Ether,/Item/4558,Item,item,0
4559,/i/020000/020624.png,Elixir,/Item/4559,Item,item,0
4560,/i/020000/020625.png,Hi-Elixir,/Item/4560,Item,item,0
4564,/i/020000/020641.png,Antidote,/Item/4564,Item,item,0
4565,/i/020000/020642.png,Eye Drops,/Item/4565,Item,item,0
4566,/i/020000/020643.png,Echo Drops,/Item/4566,Item,item,0
4567,/i/020000/020644.png,Smelling Salts,/Item/4567,Item,item,0
4568,/i/020000/020645.png,Spine Drops,/Item/4568,Item,item,0
4569,/i/020000/020648.png,Gold Needle,/Item/4569,Item,item,0
4570,/i/020000/020650.png,Phoenix Down,/Item/4570,Item,item,0
4574,/i/020000/020681.png,Weak Poisoning Potion,/Item/4574,Item,item,0
4575,/i/020000/020685.png,Weak Blinding Potion,/Item/4575,Item,item,0
4576,/i/020000/020684.png,Weak Silencing Potion,/Item/4576,Item,item,0
4577,/i/020000/020683.png,Weak Sleeping Potion,/Item/4577,Item,item,0
4578,/i/020000/020682.png,Weak Paralyzing Potion,/Item/4578,Item,item,0
4579,/i/020000/020681.png,Poisoning Potion,/Item/4579,Item,item,0
4580,/i/020000/020685.png,Blinding Potion,/Item/4580,Item,item,0
4581,/i/020000/020684.png,Silencing Potion,/Item/4581,Item,item,0
4582,/i/020000/020683.png,Sleeping Potion,/Item/4582,Item,item,0
4583,/i/020000/020682.png,Paralyzing Potion,/Item/4583,Item,item,0
4584,/i/020000/020681.png,Potent Poisoning Potion,/Item/4584,Item,item,0
4585,/i/020000/020685.png,Potent Blinding Potion,/Item/4585,Item,item,0
4586,/i/020000/020684.png,Potent Silencing Potion,/Item/4586,Item,item,0
4587,/i/020000/020683.png,Potent Sleeping Potion,/Item/4587,Item,item,0
4588,/i/020000/020682.png,Potent Paralyzing Potion,/Item/4588,Item,item,0
4594,/i/020000/020665.png,Potion of Strength,/Item/4594,Item,item,0
4595,/i/020000/020667.png,Potion of Dexterity,/Item/4595,Item,item,0
4596,/i/020000/020666.png,Potion of Vitality,/Item/4596,Item,item,0
4597,/i/020000/020668.png,Potion of Intelligence,/Item/4597,Item,item,0
4598,/i/020000/020669.png,Potion of Mind,/Item/4598,Item,item,0
4599,/i/020000/020665.png,Hi-Potion of Strength,/Item/4599,Item,item,0
4600,/i/020000/020667.png,Hi-Potion of Dexterity,/Item/4600,Item,item,0
4601,/i/020000/020666.png,Hi-Potion of Vitality,/Item/4601,Item,item,0
4602,/i/020000/020668.png,Hi-Potion of Intelligence,/Item/4602,Item,item,0
4603,/i/020000/020669.png,Hi-Potion of Mind,/Item/4603,Item,item,0
4604,/i/020000/020665.png,Mega-Potion of Strength,/Item/4604,Item,item,0
4605,/i/020000/020667.png,Mega-Potion of Dexterity,/Item/4605,Item,item,0
4606,/i/020000/020666.png,Mega-Potion of Vitality,/Item/4606,Item,item,0
4607,/i/020000/020668.png,Mega-Potion of Intelligence,/Item/4607,Item,item,0
4608,/i/020000/020669.png,Mega-Potion of Mind,/Item/4608,Item,item,0
4609,/i/020000/020665.png,X-Potion of Strength,/Item/4609,Item,item,0
4610,/i/020000/020667.png,X-Potion of Dexterity,/Item/4610,Item,item,0
4611,/i/020000/020666.png,X-Potion of Vitality,/Item/4611,Item,item,0
4612,/i/020000/020668.png,X-Potion of Intelligence,/Item/4612,Item,item,0
4613,/i/020000/020669.png,X-Potion of Mind,/Item/4613,Item,item,0
4614,/i/020000/020670.png,Fire Ward Potion,/Item/4614,Item,item,0
4615,/i/020000/020675.png,Ice Ward Potion,/Item/4615,Item,item,0
4616,/i/020000/020672.png,Wind Ward Potion,/Item/4616,Item,item,0
4617,/i/020000/020673.png,Earth Ward Potion,/Item/4617,Item,item,0
4618,/i/020000/020674.png,Lightning Ward Potion,/Item/4618,Item,item,0
4619,/i/020000/020671.png,Water Ward Potion,/Item/4619,Item,item,0
4620,/i/020000/020670.png,Fire Ward Hi-Potion,/Item/4620,Item,item,0
4621,/i/020000/020675.png,Ice Ward Hi-Potion,/Item/4621,Item,item,0
4622,/i/020000/020672.png,Wind Ward Hi-Potion,/Item/4622,Item,item,0
4623,/i/020000/020673.png,Earth Ward Hi-Potion,/Item/4623,Item,item,0
4624,/i/020000/020674.png,Lightning Ward Hi-Potion,/Item/4624,Item,item,0
4625,/i/020000/020671.png,Water Ward Hi-Potion,/Item/4625,Item,item,0
4626,/i/020000/020670.png,Fire Ward Mega-Potion,/Item/4626,Item,item,0
4627,/i/020000/020675.png,Ice Ward Mega-Potion,/Item/4627,Item,item,0
4628,/i/020000/020672.png,Wind Ward Mega-Potion,/Item/4628,Item,item,0
4629,/i/020000/020673.png,Earth Ward Mega-Potion,/Item/4629,Item,item,0
4630,/i/020000/020674.png,Lightning Ward Mega-Potion,/Item/4630,Item,item,0
4631,/i/020000/020671.png,Water Ward Mega-Potion,/Item/4631,Item,item,0
4638,/i/020000/020664.png,Over-aspected Crystal,/Item/4638,Item,item,0
4639,/i/024000/024355.png,Marmot Steak,/Item/4639,Item,item,0
4640,/i/024000/024352.png,Grilled Dodo,/Item/4640,Item,item,0
4641,/i/024000/024356.png,Mole Loaf,/Item/4641,Item,item,0
4642,/i/024000/024351.png,Meat Miq'abob,/Item/4642,Item,item,0
4643,/i/024000/024360.png,Antelope Steak,/Item/4643,Item,item,0
4644,/i/024000/024360.png,Aldgoat Steak,/Item/4644,Item,item,0
4645,/i/024000/024358.png,Smoked Raptor,/Item/4645,Item,item,0
4646,/i/024000/024353.png,Jerked Beef,/Item/4646,Item,item,0
4647,/i/024000/024352.png,Eft Steak,/Item/4647,Item,item,0
4648,/i/024000/024355.png,Sauteed Coeurl,/Item/4648,Item,item,0
4649,/i/024000/024359.png,Roast Dodo,/Item/4649,Item,item,0
4650,/i/024000/024255.png,Boiled Egg,/Item/4650,Item,item,0
4651,/i/024000/024253.png,Dodo Omelette,/Item/4651,Item,item,0
4652,/i/024000/024254.png,Mustard Eggs,/Item/4652,Item,item,0
4653,/i/024000/024257.png,Fried Egg,/Item/4653,Item,item,0
4654,/i/024000/024256.png,Scrambled Eggs,/Item/4654,Item,item,0
4655,/i/024000/024251.png,Deviled Eggs,/Item/4655,Item,item,0
4656,/i/024000/024253.png,Apkallu Omelette,/Item/4656,Item,item,0
4657,/i/024000/024311.png,Braised Pipira,/Item/4657,Item,item,0
4658,/i/024000/024313.png,Tree Toad Legs,/Item/4658,Item,item,0
4659,/i/024000/024306.png,Boiled Crayfish,/Item/4659,Item,item,0
4660,/i/024000/024301.png,Grilled Trout,/Item/4660,Item,item,0
4661,/i/024000/024302.png,Grilled Carp,/Item/4661,Item,item,0
4662,/i/024000/024303.png,Salmon Meuniere,/Item/4662,Item,item,0
4663,/i/024000/024314.png,Mugwort Carp,/Item/4663,Item,item,0
4664,/i/024000/024307.png,Stuffed Cabbage,/Item/4664,Item,item,0
4665,/i/024000/024310.png,Lava Toad Legs,/Item/4665,Item,item,0
4666,/i/024000/024315.png,Salt Cod,/Item/4666,Item,item,0
4667,/i/024000/024316.png,Raw Oyster,/Item/4667,Item,item,0
4668,/i/024000/024312.png,Boiled Bream,/Item/4668,Item,item,0
4669,/i/024000/024309.png,Baked Sole,/Item/4669,Item,item,0
4670,/i/024000/024304.png,Tuna Miq'abob,/Item/4670,Item,item,0
4671,/i/024000/024308.png,Salt Cod Puffs,/Item/4671,Item,item,0
4672,/i/024000/024309.png,Pan-fried Mahi-mahi,/Item/4672,Item,item,0
4673,/i/024000/024107.png,Mutton Stew,/Item/4673,Item,item,0
4674,/i/024000/024106.png,Lentils and Chestnuts,/Item/4674,Item,item,0
4675,/i/024000/024110.png,Antelope Stew,/Item/4675,Item,item,0
4676,/i/024000/024109.png,Orobon Stew,/Item/4676,Item,item,0
4677,/i/024000/024108.png,Ratatouille,/Item/4677,Item,item,0
4678,/i/024000/024110.png,Beef Stew,/Item/4678,Item,item,0
4679,/i/024000/024112.png,Dzemael Gratin,/Item/4679,Item,item,0
4680,/i/024000/024113.png,Zoni,/Item/4680,Item,item,0
4681,/i/024000/024153.png,Jack-o'-lantern,/Item/4681,Item,item,0
4682,/i/024000/024154.png,Parsnip Salad,/Item/4682,Item,item,0
4683,/i/024000/024158.png,Roasted Nopales,/Item/4683,Item,item,0
4684,/i/024000/024152.png,Spinach Saute,/Item/4684,Item,item,0
4685,/i/024000/024157.png,Alligator Salad,/Item/4685,Item,item,0
4686,/i/024000/024155.png,Sauerkraut,/Item/4686,Item,item,0
4687,/i/024000/024159.png,Stuffed Artichoke,/Item/4687,Item,item,0
4688,/i/024000/024151.png,Landtrap Salad,/Item/4688,Item,item,0
4689,/i/024000/024205.png,Chanterelle Saute,/Item/4689,Item,item,0
4690,/i/024000/024204.png,Chicken and Mushrooms,/Item/4690,Item,item,0
4691,/i/024000/024201.png,Forest Miq'abob,/Item/4691,Item,item,0
4692,/i/024000/024203.png,Raptor Stew,/Item/4692,Item,item,0
4693,/i/024000/024202.png,Button Mushroom Saute,/Item/4693,Item,item,0
4694,/i/024000/024206.png,Buttons in a Blanket,/Item/4694,Item,item,0
4695,/i/024000/024010.png,Black Truffle Risotto,/Item/4695,Item,item,0
4696,/i/024000/024006.png,Flatbread,/Item/4696,Item,item,0
4697,/i/024000/024003.png,Walnut Bread,/Item/4697,Item,item,0
4698,/i/024000/024004.png,Honey Muffin,/Item/4698,Item,item,0
4699,/i/024000/024001.png,Dark Pretzel,/Item/4699,Item,item,0
4700,/i/024000/024005.png,Cornbread,/Item/4700,Item,item,0
4701,/i/024000/024007.png,Acorn Cookie,/Item/4701,Item,item,0
4702,/i/024000/024002.png,Knight's Bread,/Item/4702,Item,item,0
4703,/i/024000/024008.png,La Noscean Toast,/Item/4703,Item,item,0
4704,/i/024000/024009.png,Finger Sandwich,/Item/4704,Item,item,0
4705,/i/024000/024007.png,Mizzenmast Biscuit,/Item/4705,Item,item,0
4706,/i/024000/024007.png,Roost Biscuit,/Item/4706,Item,item,0
4707,/i/024000/024007.png,Hourglass Biscuit,/Item/4707,Item,item,0
4708,/i/024000/024354.png,Rabbit Pie,/Item/4708,Item,item,0
4709,/i/024000/024054.png,Apple Tart,/Item/4709,Item,item,0
4710,/i/024000/024357.png,Shepherd's Pie,/Item/4710,Item,item,0
4711,/i/024000/024305.png,Eel Pie,/Item/4711,Item,item,0
4712,/i/024000/024056.png,Blood Currant Tart,/Item/4712,Item,item,0
4713,/i/024000/024057.png,Crowned Pie,/Item/4713,Item,item,0
4714,/i/024000/024156.png,Tomato Pie,/Item/4714,Item,item,0
4715,/i/024000/024252.png,Trapper's Quiche,/Item/4715,Item,item,0
4716,/i/024000/024102.png,Frumenty,/Item/4716,Item,item,0
4717,/i/024000/024103.png,Stone Soup,/Item/4717,Item,item,0
4718,/i/024000/024101.png,Pea Soup,/Item/4718,Item,item,0
4719,/i/024000/024104.png,Cawl Cennin,/Item/4719,Item,item,0
4720,/i/024000/024105.png,Fish Soup,/Item/4720,Item,item,0
4721,/i/024000/024111.png,Bouillabaisse,/Item/4721,Item,item,0
4722,/i/024000/024457.png,Mashed Popotoes,/Item/4722,Item,item,0
4723,/i/024000/024011.png,Cheese Risotto,/Item/4723,Item,item,0
4724,/i/024000/024069.png,Cheese Souffle,/Item/4724,Item,item,0
4725,/i/024000/024070.png,Rolanberry Cheesecake,/Item/4725,Item,item,0
4726,/i/024000/024454.png,Mint Lassi,/Item/4726,Item,item,0
4727,/i/024000/024454.png,Rolanberry Lassi,/Item/4727,Item,item,0
4728,/i/024000/024058.png,Raisins,/Item/4728,Item,item,0
4729,/i/024000/024059.png,Snowflake Peak,/Item/4729,Item,item,0
4730,/i/024000/024058.png,Dried Plums,/Item/4730,Item,item,0
4731,/i/024000/024051.png,Ginger Cookie,/Item/4731,Item,item,0
4732,/i/024000/024053.png,Crumpet,/Item/4732,Item,item,0
4733,/i/024000/024052.png,Pastry Fish,/Item/4733,Item,item,0
4734,/i/024000/024068.png,Pineapple Ponzecake,/Item/4734,Item,item,0
4735,/i/024000/024062.png,Bubble Chocolate,/Item/4735,Item,item,0
4736,/i/024000/024064.png,Pearl Chocolate,/Item/4736,Item,item,0
4737,/i/024000/024065.png,White Chocolate,/Item/4737,Item,item,0
4738,/i/024000/024063.png,Heart Chocolate,/Item/4738,Item,item,0
4739,/i/024000/024065.png,Consecrated Chocolate,/Item/4739,Item,item,0
4740,/i/024000/024060.png,Princess Pudding,/Item/4740,Item,item,0
4741,/i/024000/024061.png,Ore Fruitcake,/Item/4741,Item,item,0
4742,/i/024000/024055.png,Starlight Log,/Item/4742,Item,item,0
4743,/i/024000/024067.png,Years-old Pumpkin Cookie,/Item/4743,Item,item,0
4744,/i/024000/024066.png,Sweet Rice Cake,/Item/4744,Item,item,0
